tokens,examples
"('grace', 'noun')",The Princess brought grace to an otherwise dull and boring party.
"('ivan', 'None')",ivan
"('well-founded', 'adjective')",Antonym: ill-founded
"('bark', 'verb')",Synonym: give tongue
"('undemanding', 'adjective')",undemanding
"('umpteenth', 'None')",umpteenth
"('defebrillation', 'noun')",defebrillation
"('archaic', 'adjective')","A person familiar with the dialect of certain portions of Massachusetts will not fail to recognize, in ordinary discourse, many words now noted in English vocabularies as archaic, the greater part of which were in common use about the time of the King James translation of the Bible. Shakespeare stands less in need of a glossary to most New Englanders than to many a native of the Old Country."
"('garfunkel', 'None')",garfunkel
"('appreciate', 'verb')",I appreciate your efforts
"('hollow', 'adjective')",a hollow tree; a hollow sphere
"('complicate', 'verb')","Let us, however, put aside for the moment the mendacities and forgeries which complicate the question of Lucifer, and let us approach Palladism from an altogether different side."
"('650', 'None')",650
"('friendly', 'adjective')",Your cat seems very friendly.
"('provocatively', 'adverb')",provocatively
"('seventeen', 'None')",seventeen
"('car-park', 'noun')",car-park
"('blooming', 'adjective')",blooming
"('80-foot', 'adjective')",80-foot
"('rosette', 'noun')",Synonym: rondelle
"('king-duke', 'noun')",king-duke
"('programme', 'noun')",Our programme for today’s exercise class includes swimming and jogging.
"('follow-up', 'adjective')",follow-up
"('fusion', 'noun')","This Cryſtal is a pellucid fiſſile Stone, clear as Water or Cryſtal of the Rock, and without Colour; enduring a red Heat without loſing its tranſparency, and in a very ſtrong Heat calcining without Fuſion."
"('ceiling', 'noun')","The huge square box, parquet-floored and high-ceilinged, had been arranged to display a suite of bedroom furniture designed and made in the halcyon days of the last quarter of the nineteenth century, […]."
"('germ', 'noun')",Coordinate term: vesicle
"('quantification', 'noun')",quantification
"('deserve', 'verb')","After playing so well, the team really deserved their win."
"('settle', 'verb')",His fears were settled
"('slither', 'verb')",I bent down and with both hands I scooped up as much of this pissshit as I could. The green and brown clump felt like Jello as it dripped down all over my clothes. It was slithering through inbetween[sic] my fingers.
"('encapsulate', 'verb')","At a rate of six inches a year, the salt closes in on the waste and encapsulates it for what engineers say will be millions of years."
"('burnt-out', 'adjective')",burnt-out
"('volks', 'None')",volks
"('redundancy', 'noun')","[…] the fulneſs of the creature is limited, it ariſeth juſt to ſuch a degree and proportion, but Gods fulneſs is infinite, as it hath its Reſplendency, ſo its Redundancy, it knows neither bounds nor bottom."
"('600', 'None')",600
"('drop', 'noun')",Put three drops of oil into the mixture.
"('priceless', 'adjective')","For he the night before, in Tarquin’s tent, / Unlock’d the treasure of his happy state; / What priceless wealth the heavens had him lent / In the possession of his beauteous mate;"
"('screech', 'verb')","That the night owl should screech before the noonday sun, that the bat should wheel around the bad of beauty  […]"
"('riding-school', 'noun')",riding-school
"('unwind', 'verb')",to unwind a ball of yarn
"('data-gathering', 'adjective')",data-gathering
"('flamboyant', 'adjective')","When we see some of the monstrous and flamboyant blossoms that enrich the equatorial woods, we do not feel that they are conflagrations of nature; silent explosions of her frightful energy. We simply find it hard to believe that they are not wax flowers grown under a glass case."
"('affirmation', 'noun')",affirmation
"('disregard', 'verb')","If you break the law, they will send you a letter. You disregard that they will send someone with a suit to your house. If you disregard Suit-Boy, you will be sent a subpoena. You disregard that they will send men with guns and dogs to your house."
"('cheery', 'adjective')","The air, too, was heavy with perfume, and a nightingale, high in the heavens, gave out a cheery song of welcome."
"('plus', 'noun')",But the pluses far outweigh the criticisms.
"('nicely', 'adverb')","He lookt askew with his mistrustfull eyes, / And nicely trode, as thornes lay in his way, / Or that the flore to shrinke he did auyse [...]."
"('relational', 'adjective')","Antonyms: irrelational, unrelational"
"('depressed', 'adjective')","The mother, Ekaterina Pavlovna, who at one time had been handsome, but now, asthmatic, depressed, vague, and over-feeble for her years, tried to entertain me with conversation about painting. Having heard from her daughter that I might come to Shelkovka, she had hurriedly recalled two or three of my landscapes which she had seen in exhibitions in Moscow, and now asked what I meant to express by them."
"('bestow', 'verb')","All the voide time, that is betwene the huores of woorke ſlepe and meat, that they be ſuffered to beſtowe, euerye man as he lyketh beſte hym ſelfe."
"('consistently', 'adverb')",Thus from October 1 the French National Railways made a number of changes in their services and consistently in the direction of higher speeds.
"('ex-nazi', 'noun')",ex-nazi
"('purse', 'noun')","And then muſt many a man occupie as farre as his purſe would reache, and ſtretche out his legges accordynge to the length of his couerlet."
"('whistle', 'verb')",Never whistle at a funeral.
"('incorrigible', 'adjective')",The construction flaw is incorrigible; any attempt to amend it would cause a complete collapse.
"('import', 'noun')",It was a matter of great import.
"('exact', 'adjective')",The clock keeps exact time.
"('ipswich', 'None')",ipswich
"('contagious', 'adjective')","Hypernyms: infectious, communicable, transmissible, spreadable, catching"
"('three-quarters', 'None')",three-quarters
"('adventure', 'noun')",He loved excitement and adventure.
"('dozens', 'None')",dozens
"('backdrop', 'noun')","The president spoke outside the brick exterior of the firehouse for Ladder Company 10 and Engine Company 10, against the backdrop of a 56-foot-long bronze bas-relief depicting the towers in flames."
"('whicker', 'None')",whicker
"('stout-bodied', 'adjective')",stout-bodied
"('latitude', 'noun')",Coordinate term: longitude
"('snowy', 'adjective')",snowy day
"('wilsons', 'None')",wilsons
"('characteristically', 'adverb')","The threat the most radical of them pose is evidently far greater at home than abroad: in one characteristically slick and chilling Isis video – entitled “a message to the Jordanian tyrant” – a smiling, long-haired young man in black pats the explosive belt round his waist as he burns his passport and his fellow fighters praise the memory of Zarqawi, who was killed in Iraq in 2006."
"('offender', 'noun')","Almost all down trains are late, however; the empty wagon trains are probably the worst offenders and one or two hours' late running by them is not unusual."
"('antagonist', 'noun')",our antagonists in these controversies
"('maple', 'noun')",maple
"('prison-officer', 'noun')",prison-officer
"('nasa', 'None')",nasa
"('savour', 'verb')",This savours not much of distraction.
"('1946', 'None')",1946
"('elder', 'adjective')",The elder of the two was also an elder statesman
"('foam', 'verb')",[…]  And that is itHath made me rig my navy; at whose burthenThe anger'd ocean foams; with which I meantTo scourge the ingratitude that despiteful RomeCast on my noble father.
"('enter', 'verb')","You should knock before you enter, unless you want to see me naked."
"(nan, 'noun')",We had my nan over for Christmas dinner.
"('struggle', 'verb')","During the centuries, the people of Ireland struggled constantly to assert their right to govern themselves."
"('inform', 'verb')","For he would learn their business secretly, / And then inform his master hastily."
"('care', 'verb')","""She doesn't care what you think."" ""I don't care, I'm still going."""
"('mythology', 'noun')","The solitary, lumbering trolls of Scandinavian mythology would sometimes be turned to stone by exposure to sunlight. Barack Obama is hoping that several measures announced on June 4th will have a similarly paralysing effect on their modern incarnation, the patent troll."
"(""rain'"", 'verb')",rain'
"('geister', 'noun')",geister
"('tanker', 'noun')","The channel at Chan-chiang is being dredged to a depth of 50 feet enabling tankers of 70,000 tons to call."
"('difference', 'noun')",You need to learn to be more tolerant of difference.
"('oriana', 'None')",oriana
"('wh', 'None')",wh
"('cruz', 'None')",cruz
"('straightforward', 'adjective')","For the most part they are of straightforward design and the largest group is the ex-Prussian ""T16"" Class 0-10-0  of Type ""94"", [...]."
"('clicking', 'adjective')",clicking
"('mode', 'noun')",What was the mode of entry?
"('pants', 'noun')","“But they cover the legs,” Joseph explained. “That is the only reason my people wear pants: to cover the legs in the winter, or when traveling through rough country, full of thorns. In warm weather, or in open country, pants are unnecessary, uncomfortable, and foolish.”"
"('proudly', 'adverb')","With such focus from within the footballing community this week on Remembrance Sunday, there was something appropriate about Colchester being the venue for last night’s game. Troops from the garrison town formed a guard of honour for both sets of players, who emerged for the national anthem with poppies proudly stitched into their tracksuit jackets."
"('drama', 'noun')","The author released her latest drama, which became a best-seller."
"('affair', 'noun')",a difficult affair to manage
"('devaluation', 'noun')","According to Braverman's thesis, Taylorism, or scientific management, has been the key feature in the devaluation and dequalification of work."
"('jockey', 'noun')",jockey
"('notify', 'verb')",The dispatcher immediately notified the volunteer fire department of the emergency call.
"('verne-smith', 'None')",verne-smith
"('denounce', 'verb')","Nero […] sent his Satellites or officers toward him, to denounce the decree of his death to him […]."
"('w', 'None')",w
"('christopher', 'None')",christopher
"('harriet', 'None')",harriet
"('telegraph', 'noun')",This strict sense of telegraph developed from French usage for Napoleon's overland semaphore network but rather arbitrarily excludes similar Chinese and other signalling networks.
"('constantly', 'adverb')","Agrippa and the rest of his weeping friends earnestly besought him […] not to offer violence unto himself, ‘with a settled resolution he desired again they would approve of his good intent, and not seek to dehort him from it’; and so constantly died."
"('eric', 'None')",eric
"('boost', 'noun')",The controversy gave a boost to the author's sales.
"('tradition', 'noun')","Yet if the only form of tradition, of handing down, consisted in following the ways of the immediate generation before us in a blind or timid adherence to its successes, ""tradition"" should positively be discouraged."
"('merit', 'noun')","[R]eputation is an idle and moſt falſe impoſition , oft got without merit and loſt without deſeruing."
"('riot', 'noun')",The protests began peacefully but turned into riots after several days.
"('former', 'None')",former
"('destiny', 'noun')","Synonyms: fate, lot"
"('compostela', 'None')",compostela
"('orange-liveried', 'adjective')",orange-liveried
"('commonly', 'adverb')","As he thereon stood gazing, he might see / The blessed Angels to and fro descend / From highest heaven in gladsome companee, / And with great joy into that Citie wend, / As commonly as friend does with his frend."
"('dramatist', 'noun')",dramatist
"('expulsion', 'noun')","The scandal involved every member of the high school's football team, resulting in a flurry of expulsions, starting with the quarterback."
"('aggregate', 'verb')",The aggregated soil.
"('holiday', 'noun')","Synonyms: feast day, holy day"
"('highly', 'adverb')",He spoke highly of you.
"('overlay', 'verb')","For ſo exceeding ſhone his gliſtring ray,That Phœbus golden face it did attaint,As when a cloud his beames doth ouer-lay"
"('hazard-free', 'adjective')",hazard-free
"('beautiful', 'adjective')","It's rather like a beautiful Inverness cloak one has inherited. Much too good to hide away, so one wears it instead of an overcoat and pretends it's an amusing new fashion."
"('gig', 'noun')",I caught one of the Rolling Stones’ first gigs in Richmond.
"('disbelief', 'noun')",She cried out in disbelief on hearing that terrorists had crashed an airplane into the World Trade Center in New York City.
"('excluding', 'preposition')","Our lucky free draw winner will be treated to dinner, bed and breakfast, but the holiday must be taken before December, 1991 ."
"('rugby', 'noun')",Synonym: rugger
"('council', 'noun')",He turned back to the scene before him and the enormous new block of council dwellings. The design was some way after Corbusier but the block was built up on plinths and resembled an Atlantic liner swimming diagonally across the site.
"('panic', 'noun')","She wakened in sharp panic, bewildered by the grotesquerie of some half-remembered dream in contrast with the harshness of inclement fact, drowsily realising that since she had fallen asleep it had come on to rain smartly out of a shrouded sky."
"('fitting', 'noun')",the fittings of a church or study
"('style', 'noun')","Thus while his Thoughts the lingring Day beguile, / To gentle Arcite let us turn our Style; [...]"
"('chemist', 'noun')","As the world's drug habit shows, governments are failing in their quest to monitor every London window-box and Andean hillside for banned plants. But even that Sisyphean task looks easy next to the fight against synthetic drugs. No sooner has a drug been blacklisted than chemists adjust their recipe and start churning out a subtly different one."
"('birthday', 'noun')",When's your birthday? Mine's on April 1.
"('concrete', 'adjective')",Fuzzy videotapes and distorted sound recordings are not concrete evidence that Bigfoot exists.
"('murky', 'adjective')","The Streets of London, to be beheld in the very height of their glory, should be seen on a dark, dull, murky, winter's night, when there is just enough damp gently stealing down to make the pavement greasy without cleansing it of any of its impurities,  […]"
"('left', 'noun')","Synonyms: 9 o'clock, port"
"('banda', 'noun')","With very little fanfare, WZAA had become the first FM station in New York offering a format known as Mexican Regiona, which includes genres like ranchera, banda and norteña music."
"('conviction', 'noun')","""...I imagined...that the husband of the lady might very easily be in Russia while his wife's health might necessitate her wintering in Egypt..."" ""But my mother thinks not. My mother thinks there is not a husband at all,—that there never was a husband. In fact my mother has very strong convictions on the subject..."""
"('whatsoever', 'None')",whatsoever
"('successive', 'adjective')",They had won the title for five successive years.
"('hume', 'None')",hume
"('physical', 'adjective')","Her father was thrown from his horse, when his blood was in a very inflammatory state, and the bruises were very dangerous; his recovery was not expected by the physical tribe."
"('higher-level', 'adjective')",higher-level
"('tramway', 'noun')",tramway
"('dung', 'noun')","Poor Tom, that eats the swimming frog, the toad, the todpole, the wall-newt, and the water; that in the fury of his heart, when the foul fiend rages, eats cow-dung for sallets; swallows the old rat and the ditch-dog; drinks the green mantle of the standing pool […]"
"('portion', 'noun')",The Lord of that ſeruant  […]  will appoint him his portion with the vnbeleeuers.
"('flemish', 'adjective')",flemish
"('backer', 'noun')",backer
"('rush', 'verb')",rush one's dinner;   rush off an email response
"('swansea', 'None')",swansea
"('greek', 'noun')",greek
"('tiger', 'noun')","For with ſuch puiſſance and impetuous maine / Thoſe Champions broke on them, that forſt the fly, / Like ſcattered Sheepe, whenas the Shepherds ſwaine / A Lyon and a Tigre doth eſpye, / With greedy pace forth ruſhing from the foreſt nye."
"('civilisation', 'noun')","From Keighley onwards we had obviously returned to civilisation, for the surrounding country was now studded with the sodium street lights of suburbia and a thickening industrial haze was blotting out the moon."
"('cocaine', 'noun')","Synonyms: blow, coke, girl, nose candy, powder, rock, slim, snow, snuff, white lady, yay; see also Thesaurus:cocaine"
"('peremptory', 'adjective')","there is no reason but if any of the outlawries be indeed without error, but it should be a peremptory plea to the person in a writ of error, as well as in any other action."
"('magically', 'adverb')",magically
"('bank', 'None')",bank
"('poker-', 'adjective')",poker-
"('tottenham', 'None')",tottenham
"('15,000', 'None')","15,000"
"('munich', 'None')",munich
"('legislation', 'noun')",Synonym: lawmaking
"('safer', 'adverb')",safer
"('worth', 'noun')","I’ll have a dollar's worth of candy, please."
"('tram', 'noun')",Lizzie and she got a dozen of large bottles and the loan of a basket and we got a currant pan and a half-pound of cooked ham in the shop next door and got on the tram for Whitehall.
"('ecalpemo', 'noun')",ecalpemo
"('389', 'None')",389
"('pit', 'noun')",The meadow around the town is full of old pits.
"('syllabus', 'noun')","In the first half of the year, teachers attended the training workshop for the new K-10 Chinese syllabus. In July, almost all the teachers attended the teacher training courses provided by OCAC."
"('pigment', 'noun')",Chlorophyll is the pigment responsible for most plants' green colouring.
"('donoghue', 'None')",donoghue
"('stubby', 'adjective')","The mouth with its bright, shiny grimace exposes a stubby row of teeth, from left to right growing stubbier and stubbier, with more and more cavities."
"('anecdotal', 'adjective')",anecdotal
"('ranking', 'noun')",ranking
"('scanty', 'adjective')","Present on the table, one scanty pot of tea, one scanty loaf, two scanty pats of butter, two scanty rashers of bacon, two pitiful eggs, and an abundance of handsome china bought a secondhand bargain."
"('1980', 'None')",1980
"('upstage', 'verb')","Synonyms: eclipse, overshadow"
"('alarming', 'adjective')",alarming
"('litter', 'verb')","By tossing the bottle out the window, he was littering."
"('ricki', 'noun')",ricki
"('rectify', 'verb')",to rectify the crisis
"('garb', 'verb')",garb
"('ben', 'None')",ben
"('by', 'adverb')",I watched as it passed by.
"('masser', 'None')",masser
"('reorganise', 'verb')",reorganise
"('inductive', 'adjective')","A brutish vice, / Inductive mainly to the sin of Eve."
"('plentiful', 'adjective')",a plentiful harvest
"('austins', 'None')",austins
"('schist', 'noun')","Although it shows under the microscope traces of the original gabbro structure and of the original gabbro minerals, no one would hesitate from a microscopical examination to class it with the schists."
"('capacity', 'noun')",It was hauling a capacity load.
"('even', 'adverb')",I fulfilled my instructions even as I had promised.
"('horsetail', 'noun')","Commanders were distinguished by the number of horsetails carried before them. The sultan had seven, the grand vizier five, and the pashas three, two, or one."
"('prove', 'verb')","[VV]e are able with playne demonſtration to proue, and vvith reaſon to perſvvade that in tymes paſt our fayth vvas alike, that then vve preached thinges correſpondent vnto the forme of faith already published of vs, ſo that none in this behalfe can repyne or gaynesay vs."
"('cotton', 'noun')",K'a-shih has the most extensive cotton-growing area which amounted to 950 000 mou  in 1965.
"('one another', 'None')",one another
"('randy', 'adjective')","If you're feeling randy, give me a call and I'll come round and give you some lovin'."
"('jacket', 'noun')","We got a crowd of black, white customers, out-of-state license plates, what have you. Somebody gonna check that out. They gonna drop a dime on me, call 911. And you know with my jacket I can't go back to jail."
"('topographic', 'adjective')",topographic
"('clinch', 'noun')","Synonyms: grip, grasp"
"('alaska', 'None')",alaska
"('unreality', 'noun')",unreality
"('faint', 'adjective')",I felt faint after my fifth gin and tonic.
"('akenfield', 'noun')",akenfield
"('pillar-like', 'adjective')",pillar-like
"('on board', 'adverb')","Without management on board, the project has little chance of success."
"('expense', 'noun')",She went to great expense to ensure her children would get the best education.
"('1945', 'None')",1945
"('preserving', 'noun')","Some preservings of foods, indeed, can scarcely be done to advantage except on a large scale."
"('inaugurate', 'verb')","[…]  Acciona, a Spanish conglomerate, is due to inaugurate a new power plant a few miles from Las Vegas."
"('slick', 'noun')",Careful in turn three — there's an oil slick on the road.
"('mcleish', 'None')",mcleish
"('resolution', 'noun')","His stalwart resolution is perhaps admirable, perhaps foolish."
"('musical', 'adjective')",musical proportion; musical instruments
"('protracted', 'adjective')",Synonyms: long-drawn-out; see also Thesaurus:lasting
"(""d'antibes"", 'None')",d'antibes
"('less', 'adverb')",I slept even less last night than I did the night before.
"('liberate', 'verb')","Jeeves: Foreign travel often liberates emotions best kept in check, sir. The air of North America is notoriously stimulating in this regard, as witness the regrettable behavior of its inhabitants in 1776.B. Wooster: Hm? What happened in 1776, Jeeves?Jeeves: I prefer not to dwell on it, if it's convenient to you, sir."
"('perturbation', 'noun')",But her mind had never been in such perturbation; and it needed a very strong effort to appear attentive and cheerful till the usual hour of separating allowed her the relief of quiet reflection.
"('3.11', 'None')",3.11
"('location', 'noun')",The ability to shift profits to low-tax countries by locating intellectual property in them […] is often assumed to be the preserve of high-tech companies. […] current tax rules make it easy for all sorts of firms to generate […] “stateless income”: profit subject to tax in a jurisdiction that is neither the location of the factors of production that generate the income nor where the parent firm is domiciled.
"('ever-so-slightly', 'adverb')",ever-so-slightly
"('iznik', 'None')",iznik
"('littlejohn', 'None')",littlejohn
"('drench', 'verb')",Now dam the ditches and the floods restrain; / Their moisture has already drenched the plain.
"('mortal', 'adjective')",Blyndfold he was; and in his cruell fist  A mortall bow and arrowes keene did hold  […]
"('capable', 'adjective')",She is capable and efficient.
"('over-elaborate', 'adjective')",over-elaborate
"('milburns', 'None')",milburns
"('submission', 'noun')",Any submissions received after Friday will have marks deducted for lateness.
"('unresolved', 'adjective')",The psychotherapist encouraged patients to describe their unresolved emotional problems.
"('n150', 'None')",n150
"('comparative', 'adjective')","that kind of animals that have the comparative faculty, by which they compare things together, deliberate and resolve"
"('flourish', 'verb')","'Twas early June, the new grass was flourishing everywheres, the posies in the yard—peonies and such—in full bloom, the sun was shining, and the water of the bay was blue, with light green streaks where the shoal showed."
"('brother-in-law', 'noun')","He was appalled by trench conditions and the prolongation of the war, a disillusionment further encouraged by the Easter rising, in which his brother-in-law, Francis Sheehy-Skeffington , was murdered by a deranged Anglo-Irish officer, J. C. Bowen-Colthurst ."
"('curb', 'verb')",Curb your dog
"('liar', 'noun')","She paused and took a defiant breath. ‘If you don't believe me, I can't help it. But I'm not a liar.’ ¶ ‘No,’ said Luke, grinning at her. ‘You're not dull enough! […] What about the kid's clothes? I don't suppose they were anything to write home about, but didn't you keep anything? […]’"
"('it', 'None')",it
"('partitional', 'adjective')","Considering that most of the partitional clustering approaches are based on k-means, and moving k-means clustering can minimize the noise affect, this paper introduces an idea of integrating both k-means clustering and moving k-means clustering to conduct the segmentation."
"('paradise', 'noun')",Synonym: Heaven
"('rasping', 'adjective')",He spoke in a rasping voice due to throat cancer.
"('cram', 'verb')",to cram fruit into a basket; to cram a room with people
"('gimlet-eyed', 'adjective')","'D—n her gooseberry wig,' said the corporal, when she was out of hearing, 'that gimlet-eyed jade—mother adjutant, as we call her—is a greater plague to the regiment than provost-marshal, ..."
"('faintly', 'adverb')","So this was my future home, I thought! […] Backed by towering hills, the but faintly discernible purple line of the French boundary off to the southwest, a sky of palest Gobelin flecked with fat, fleecy little clouds, it in truth looked a dear little city; the city of one's dreams."
"('penny', 'noun')","Thanks to that penny he had just spent so recklessly [on a newspaper] he would pass a happy hour, taken, for once, out of his anxious, despondent, miserable self. It irritated him shrewdly to know that these moments of respite from carking care would not be shared with his poor wife, with careworn, troubled Ellen."
"('royle', 'None')",royle
"('fridge', 'noun')","Sweet broccolini with tofu, sesame, and cilantro  […]  First, marinate the tofu. In a bowl, whisk the soy sauce, chile sauce, and sesame oil together. Cut the tofu into strips about ⅜ inch / 1 cm thick, mix gently  with the marinade, and leave in the fridge for half an hour."
"('labelling', 'noun')",labelling
"('smile', 'verb')","When you smile, the whole world smiles with you."
"('deterrent', 'noun')","The salarians believed the genophage would be used as a deterrent, a position the turians viewed as naive. Once the project was complete, the turians mass produced and deployed it. The krogan homeworld, their colonies, and all occupied worlds were infected."
"('union', 'noun')","Synonyms: junction, coalition, combination"
"('darkness', 'noun')",The darkness of the room made it difficult to see.
"('appendage', 'noun')","Synonyms: extremity, member"
"('paisley', 'None')",paisley
"('whiteness', 'noun')","[Snow] may  […]  exchange its whiteness for yellowness, without losing its right to be called snow;  […]"
"('fiver', 'noun')",Do you have a fiver I could borrow? I can pay you back tomorrow.
"('envy', 'noun')",No bliss enjoyed by us excites his envy more.
"('into', 'preposition')","He used to drop into my chambers once in a while to smoke, and was first-rate company. When I gave a dinner there was generally a cover laid for him. I liked the man for his own sake, and even had he promised to turn out a celebrity it would have had no weight with me."
"('surround', 'verb')","The hovel stood in the centre of what had once been a vegetable garden, but was now a patch of rank weeds. Surrounding this, almost like a zareba, was an irregular ring of gorse and brambles, an unclaimed vestige of the original common."
"('medication', 'noun')",Have you been taking your medication? [uncountable]
"('fang', 'noun')","Now take out your Indian Tuberoſes, parting the Off-ſets  then pot them in natural  Earth; [...] the protuberant fangs of the Yuca are to be treated like the Tuberoſes."
"('fond', 'adjective')",more fond on her than she upon her love
"('agitated', 'adjective')",By quarter to six all this had me so awake and agitated that even the Balinese wind chimes that I hung up in the garden to relax me began to sound like Big Ben.
"('mama', 'None')",mama
"('11-point', 'adjective')",11-point
"('stimulate', 'verb')",stimulate the economy
"('origin', 'noun')","It is clear that the origin of the truth would be an admirable criterion of this sort, if only the various origins could be discriminated from one another from this point of view, and the history of dogmatic opinion shows that origin has always been a favorite test. Origin in immediate intuition; origin in pontifical authority; origin in supernatural revelation, as by vision, hearing, or unaccountable impression; origin in direct possession by a higher spirit, expressing itself in prophecy and warning; origin in automatic utterance generally,—these origins have been stock warrants for the truth of one opinion after another which we find represented in religious history."
"('shellsuit', 'noun')",shellsuit
"('simplifying', 'adjective')",simplifying
"('apocalyptic', 'adjective')","Let him go and make, and burn, a pile or two [of bricks] with his own hands; he will thereby receive apocalyptic visions of a nature novel to his soul."
"('run', 'noun')",I just got back from my morning run.
"('tower', 'noun')",The Sears Tower
"('sun-worshipper', 'noun')",sun-worshipper
"('repulsive', 'adjective')",a repulsive smell
"('mariopteris', 'None')",mariopteris
"('co-ordinate', 'verb')","To assist in this mind-bogglingly complex endeavour, Switzerland has developed sophisticated software tools that allow infrastructure managers , operators and local/national authorities to co-ordinate civil engineering projects with planned service enhancements, demand forecasts, pathing requirements, nationwide timetables, and asset utilisation up to 15 years ahead."
"('spectator', 'noun')",The cheering spectators watched the fireworks.
"('frown', 'verb')",She frowned when I told her the news.
"('caithness', 'None')",caithness
"('cushioned', 'adjective')",cushioned
"('currant', 'noun')",currant
"('lumpen', 'adjective')",[About prominent critics lambasting his film 2001:] New York was the only really hostile city. Perhaps there is a certain element of the lumpen literati that is so dogmatically atheist and materialist and Earth-bound that it finds the grandeur of space and the myriad mysteries of cosmic intelligence anathema.
"('full-time', 'adjective')","I have a full-time job, working five days a week."
"('wheel', 'noun')","The departure was not unduly prolonged. […] Within the door Mrs. Spoker hastily imparted to Mrs. Love a few final sentiments on the subject of Divine Intention in the disposition of buckets; farewells and last commiserations; a deep, guttural instigation to the horse; and the wheels of the waggonette crunched heavily away into obscurity."
"('womanhood', 'noun')","""I swear, even in this most holy hour of completed Womanhood, that I will abandon Evil and cherish Good."""
"('literal', 'adjective')","The literal translation is ""hands full of bananas"" but it means ""empty-handed""."
"('behaviour', 'noun')","After all, it is undeniable that the B.R. standard coach scored highly in comparative trials with other European railway vehicles on the Continent a few years ago, so that B.R. civil engineers must share responsibility for any defects in its behaviour over here."
"('probable', 'adjective')",It's probable that it will rain tomorrow.
"('shaftesbury', 'None')",shaftesbury
"('3.3', 'None')",3.3
"('wallow', 'verb')",Pigs wallow in the mud.
"('austerity', 'noun')","The most rigid and noted of the English ladies resident in the French capital acknowledged and countenanced her; the virtuous Lady Elderbury, the severe Lady Rockminster, the venerable Countess of Southdown—people, in a word, renowned for austerity, and of quite a dazzling moral purity:—so great and beneficent an influence had the possession of ten  thousand a year exercised upon Lady Clavering’s character and reputation"
"('-(1.7)', 'adjective')",-(1.7)
"('constituent', 'noun')","We know how to bring these constituents together, and to cause them to form water."
"('gis-like', 'adjective')",gis-like
"('n4', 'None')",n4
"('1.9p', 'noun')",1.9p
"('mature', 'adjective')",She is quite mature for her age.
"('spontaneity', 'noun')","Romney Leigh, who lives by diagrams, / And crosses out the spontaneities / Of all his individual, personal life / With formal universals."
"('knocking', 'noun')",These strange openings and closings and knockings were warnings and reminders from the spirits who attend the dying.
"('plague', 'verb')","""Moreover,"" replied Congreve, ""it was a sort of flattery to the duke. It showed that she valued the power of plaguing him more than her own fairest ornament. Flattery is the real secret by which a woman keeps her lover."""
"('hirsute', 'verb')",hirsute
"('pain', 'noun')",The greatest difficulty lies in treating patients with chronic pain.
"('olive', 'noun')",olive:
"('in between', 'preposition')",in between
"('system', 'noun')","Synonyms: arrangement, complex, composition, organization, set up, structure"
"('arbiter', 'noun')",In order to protect individual liberty there must be an arbiter between the governing powers and the governed.
"('primrose', 'None')",primrose
"('member', 'noun')","“Were it not for the fancy French and Latin in it, I'd have swore it was the sort of thing I do not print as a rule, but being as how the order was from one of the members upstairs...”"
"('nice', 'adjective')","When the party was nice, the party was jumpin' "
"('vacuity', 'noun')","The meanes I use to suppresse this frenzy, and which seemeth the fittest for my purpose, is to crush, and trample this humane pride and fiercenesse under foot, to make them feele the emptinesse, vacuitie, and no worth of man […]."
"('istanbul', 'None')",istanbul
"('closing', 'noun')",openings and closings of doors
"('453', 'None')",453
"('colonial', 'adjective')","From the ground, Colombo’s port does not look like much. Those entering it are greeted by wire fences, walls dating back to colonial times and security posts. For mariners leaving the port after lonely nights on the high seas, the delights of the B52 Night Club and Stallion Pub lie a stumble away."
"('tree', 'noun')",Hyperion is the tallest living tree in the world.
"('seasonal', 'adjective')",Antonym: unseasonal
"('terney', 'None')",terney
"('grantham', 'None')",grantham
"('kick', 'verb')",Did you kick your brother?
"('glossy', 'adjective')",glossy hair
"('eleventh', 'None')",eleventh
"('fire', 'noun')",We sat about the fire singing songs and telling tales.
"('disposed', 'adjective')",when he was disposed to pass into Achaia
"('contributory', 'adjective')","My Lord the great Commander of the worlde,Besides fifteene contributory kings,Hath now in armes ten thouſand Ianiſaries,Mounted on luſty Mauritanian Steeds,  […]"
"('barnets', 'None')",barnets
"('materially', 'adverb')","Tobacco, for instance, shrinks materially by frequent reshippings, and as all goods are warehoused as a convenience to importers, duties should be paid on what the importer receives."
"('$671,000', 'noun')","$671,000"
"('marks', 'None')",marks
"('supplement', 'verb')",I supplement my income by working as a model.
"('headlamp', 'noun')",The automobile headlamp uses either a parabolic reflector or a slight modification of it to obtain a concentrated light beam.
"('18,000', 'None')","18,000"
"('police', 'noun')","There are nine Principles of Police:...7 To maintain at all times a relationship with the public that gives reality to the historic tradition that the police are the public and that the public are the police; the police being only members of the public who are paid to give full-time attention to duties which are incumbent on every citizen, in the interests of community welfare and existence."
"('foster', 'adjective')",foster parents
"('mask', 'noun')",a dancer's mask; a fencer's mask; a ball player's mask
"('correct', 'verb')",You'll need to correct your posture if you're going to be a professional dancer.
"('coin', 'noun')","...the coins were of all countries and sizes - doubloons, and louis d'ors, and guineas, and pieces of eight..."
"('pretty', 'adjective')","The face which emerged was not reassuring. […]. He was not a mongol but there was a deficiency of a sort there, and it was not made more pretty by a latter-day hair cut which involved eccentrically long elf-locks and oiled black curls."
